Incident_Date,Aircaft_Damage_Type,Time,Onboard_Total,Fatalities,Aircraft_Brand,Operator_Main,Engine_Brand,Aircraft_Age,City,lat,lng,incident_dt,weather_time_utc,temp_2m,rh_2m,dewpoint_2m,cloudcover,windspeed_10m,winddir_10m,surface_pressure,precipitation,rain,showers,snowfall,snow_depth,precipitation_probability
1992-12-21,Damaged beyond repair,8:33,340.0,56,McDonnell,Martinair Holland,General Electric,17.0,Faro,37.0161,-7.935,1992-12-21 08:33:00,1992-12-21 08:00:00,14.2,91.0,12.8,100.0,25.8,150.0,1012.7,0.2,0.2,0.0,0.0,0.0,
1991-01-11,Substantial,20:30,4.0,0,Beechcraft,United Executive Jet,Pratt Whitney,14.0,Vichy,46.1278,3.4267,1991-01-11 20:30:00,1991-01-11 20:00:00,7.6,86.0,5.4,100.0,8.9,230.0,992.0,0.0,0.0,0.0,0.0,0.0,
1991-01-30,Destroyed,23:55,19.0,0,British,USAir Express,Garrett,5.0,Beckley,37.7877,-81.1841,1991-01-30 23:55:00,1991-01-30 23:00:00,8.1,100.0,8.1,100.0,10.5,292.0,927.2,0.6,0.6,0.0,0.0,0.0,
1991-03-15,Damaged beyond repair,21:07,4.0,0,Learjet,L챠der T찼xi A챕reo,Garrett,10.0,Uberlandia,-18.9189,-48.2769,1991-03-15 21:07:00,1991-03-15 21:00:00,23.9,79.0,20.0,96.0,9.7,195.0,914.6,0.3,0.3,0.0,0.0,0.0,
1991-07-10,Destroyed,18:12,15.0,13,Beechcraft,L'Express Airlines,Pratt Whitney,7.0,Birmingham,52.48,-1.9025,1991-07-10 18:12:00,1991-07-10 18:00:00,21.9,62.0,14.2,1.0,15.9,142.0,999.0,0.0,0.0,0.0,0.0,0.0,
1991-11-16,Substantial,6:10,1.0,1,Cessna,FedEx,Pratt Whitney,4.0,Destin,30.395,-86.4701,1991-11-16 06:10:00,1991-11-16 06:00:00,15.5,100.0,15.5,9.0,7.7,127.0,1020.6,0.0,0.0,0.0,0.0,0.0,
1991-11-26,Damaged beyond repair,5:02,41.0,41,Antonov,Tatarstan,Ivchenko,20.0,Bugulma,54.5364,52.7975,1991-11-26 05:02:00,1991-11-26 05:00:00,-1.8,94.0,-2.7,100.0,16.3,256.0,986.4,0.0,0.0,0.0,0.0,0.15,
1990-01-19,Destroyed,17:09,7.0,7,Gulfstream,Eastman Kodak,Rolls-Royce,10.0,Little Rock,34.7256,-92.3577,1990-01-19 17:09:00,1990-01-19 17:00:00,7.1,99.0,6.9,100.0,13.7,72.0,1006.5,0.2,0.2,0.0,0.0,0.0,
1990-02-27,Destroyed,19:47,1.0,1,Cessna,Federal Express,Pratt Whitney,5.0,Denver,39.762,-104.8758,1990-02-27 19:47:00,1990-02-27 19:00:00,6.5,54.0,-2.1,100.0,7.4,39.0,847.2,0.0,0.0,0.0,0.0,0.01,
1990-06-06,Damaged beyond repair,5:29,42.0,22,Fairchild,TABA,,23.0,Altamira,-3.2028,-52.2058,1990-06-06 05:29:00,1990-06-06 05:00:00,23.0,99.0,22.8,100.0,7.0,78.0,1001.9,0.0,0.0,0.0,0.0,0.0,
1989-03-15,Destroyed,7:26,2.0,2,NAMC,Mid Pacific Airlines,Rolls-Royce,19.0,Lafayette,30.2082,-92.0325,1989-03-15 07:26:00,1989-03-15 07:00:00,18.5,92.0,17.0,20.0,15.7,189.0,1008.9,0.0,0.0,0.0,0.0,0.0,
1989-10-02,Damaged beyond repair,13:00,1.0,0,Cessna,Owners Jet Services,Pratt Whitney,,Sedona,34.8581,-111.7941,1989-10-02 13:00:00,1989-10-02 13:00:00,12.2,55.0,3.4,0.0,9.3,152.0,864.1,0.0,0.0,0.0,0.0,0.0,
